date,number_commits
2014-09-19T17:39:31Z,1
2014-09-19T17:39:35Z,1
2014-09-20T00:39:59Z,1
2014-09-22T13:56:10Z,1
2014-09-22T16:45:00Z,1
2014-09-22T17:25:15Z,1
2014-09-22T17:27:35Z,1
2014-09-22T18:18:45Z,1
2014-09-22T23:33:25Z,1
2014-09-23T16:30:36Z,1
2014-09-23T16:36:21Z,1
2014-09-23T16:47:57Z,1
2014-09-23T17:24:11Z,1
2014-09-23T17:25:46Z,1
2014-09-23T21:55:22Z,1
2014-09-23T22:41:56Z,1
2014-09-23T23:05:32Z,1
2014-09-23T23:07:51Z,1
2014-09-23T23:10:12Z,1
2014-09-23T23:12:39Z,1
2014-09-23T23:12:43Z,1
2014-09-23T23:23:02Z,1
2014-09-23T23:25:46Z,1
2014-09-23T23:28:18Z,1
2014-09-23T23:31:21Z,1
2014-09-23T23:31:25Z,1
2014-09-24T01:53:29Z,1
2014-09-24T22:55:42Z,1
2014-09-24T22:59:00Z,1
2014-09-25T08:48:45Z,1
2014-09-26T18:39:24Z,1
2014-09-26T18:39:50Z,1
2014-09-26T19:38:04Z,1
2014-09-26T21:24:53Z,1
2014-09-26T21:36:17Z,1
2014-09-26T21:45:24Z,1
2014-09-26T22:38:40Z,1
2014-09-26T22:45:20Z,1
2014-09-27T14:26:52Z,1
2014-09-27T20:08:53Z,1
2014-09-27T20:10:01Z,1
2014-09-29T07:08:31Z,1
2014-09-29T16:19:12Z,1
2014-09-29T19:07:27Z,1
2014-09-29T21:24:02Z,1
2014-09-29T21:40:37Z,1
2014-09-29T21:56:43Z,1
2014-09-29T22:08:31Z,1
2014-09-29T22:22:17Z,1
2014-09-29T22:22:26Z,1
2014-09-29T22:27:35Z,1
2014-09-29T23:20:34Z,1
2014-09-29T23:37:00Z,1
2014-09-30T00:22:58Z,1
2014-09-30T00:23:29Z,1
2014-09-30T02:37:52Z,1
2014-09-30T08:52:16Z,1
2014-09-30T10:00:02Z,1
2014-09-30T12:56:43Z,1
