id,created_at,closed_at
1555710617,2023-10-13T11:03:20Z,2024-01-08T10:37:09Z
1555708273,2023-10-13T11:01:26Z,2023-10-16T11:25:27Z
1555334242,2023-10-13T06:16:14Z,2023-10-19T11:53:44Z
1554693351,2023-10-12T18:55:28Z,2023-10-13T06:15:35Z
1546237760,2023-10-07T04:57:43Z,2023-10-07T05:36:56Z
1546078678,2023-10-06T22:34:42Z,2023-10-12T20:26:00Z
1542565117,2023-10-04T21:46:54Z,2023-10-10T10:11:45Z
1538003269,2023-10-02T13:16:04Z,2023-10-17T17:53:33Z
1531189782,2023-09-26T19:21:02Z,2023-09-27T20:01:48Z
1530825486,2023-09-26T15:15:57Z,2023-10-20T14:30:44Z
1530799388,2023-09-26T15:03:34Z,2023-10-20T12:16:34Z
1530788932,2023-09-26T14:57:50Z,2023-10-19T12:19:37Z
1530776142,2023-09-26T14:52:06Z,2023-10-05T18:41:13Z
1530773192,2023-09-26T14:50:53Z,2023-10-05T01:46:41Z
1530768733,2023-09-26T14:48:47Z,2023-09-27T11:17:28Z
1529547287,2023-09-25T21:34:40Z,2023-10-19T07:06:16Z
1529244842,2023-09-25T17:30:46Z,2023-10-05T01:44:02Z
1527802234,2023-09-24T19:48:02Z,2023-09-26T17:50:21Z
1527445916,2023-09-23T15:31:37Z,2023-09-25T13:31:31Z
1527444687,2023-09-23T15:26:14Z,2023-09-25T13:29:43Z
1527352343,2023-09-23T08:51:02Z,2023-09-24T20:16:13Z
1526547138,2023-09-22T12:59:45Z,2023-09-27T07:28:32Z
1526205968,2023-09-22T08:58:36Z,2023-09-22T10:54:27Z
1526018478,2023-09-22T06:33:51Z,2023-09-22T07:03:47Z
1526009707,2023-09-22T06:24:45Z,2023-09-22T08:59:31Z
1524751850,2023-09-21T12:14:45Z,2023-09-22T06:34:52Z
1524744666,2023-09-21T12:09:58Z,2023-09-26T05:17:52Z
1521790941,2023-09-19T18:20:24Z,2023-09-22T07:14:57Z
1521110671,2023-09-19T11:11:25Z,2023-09-22T06:02:26Z
1520971663,2023-09-19T09:34:36Z,2023-09-22T06:02:04Z
1520963044,2023-09-19T09:29:15Z,2023-09-22T06:01:37Z
1520595886,2023-09-19T03:46:03Z,2023-09-19T06:22:02Z
1519767446,2023-09-18T15:43:18Z,2023-09-26T06:51:42Z
1518317257,2023-09-16T20:20:13Z,2023-09-18T06:08:07Z
1515553817,2023-09-14T11:45:40Z,2023-09-19T14:31:35Z
1515213583,2023-09-14T08:24:10Z,2023-09-19T13:58:04Z
1515206582,2023-09-14T08:20:05Z,2023-09-14T11:48:15Z
1515157275,2023-09-14T07:50:23Z,2023-09-22T10:53:44Z
1514454817,2023-09-13T19:43:48Z,2023-09-14T07:51:38Z
1512634639,2023-09-12T18:55:26Z,2023-09-13T11:39:51Z
1510930751,2023-09-11T19:59:58Z,2023-10-05T12:26:31Z
1510795301,2023-09-11T18:18:42Z,
1509946501,2023-09-11T09:27:06Z,2023-09-11T16:15:00Z
1509806473,2023-09-11T08:05:03Z,2023-09-11T16:14:37Z
1509768818,2023-09-11T07:40:57Z,2023-09-11T16:17:27Z
1509295047,2023-09-10T21:32:53Z,2023-09-10T22:37:22Z
1509270480,2023-09-10T20:10:09Z,2023-09-10T22:38:11Z
1509261850,2023-09-10T19:31:03Z,2023-09-10T22:42:53Z
1509043119,2023-09-10T06:46:57Z,2023-09-11T16:59:46Z
1508198464,2023-09-08T16:49:05Z,2023-09-10T22:38:45Z
1507964954,2023-09-08T14:04:55Z,2023-09-08T14:14:34Z
1507309336,2023-09-08T06:27:58Z,2023-09-13T11:41:12Z
1504037686,2023-09-06T06:40:11Z,2023-09-06T11:28:54Z
1504000444,2023-09-06T06:07:51Z,2023-09-06T08:39:32Z
1503471372,2023-09-05T21:03:36Z,2023-09-05T22:20:23Z
1502967237,2023-09-05T14:56:58Z,2023-09-07T10:02:58Z
1502917774,2023-09-05T14:26:39Z,2023-09-05T19:41:21Z
1501754474,2023-09-04T19:25:42Z,2023-09-05T16:06:44Z
1499011088,2023-09-01T14:59:48Z,2023-09-01T20:26:42Z
1497254610,2023-08-31T14:09:10Z,2023-09-22T09:07:17Z
1493455125,2023-08-29T10:04:10Z,2023-08-29T11:33:17Z
1486281238,2023-08-23T11:46:25Z,2023-08-23T13:05:21Z
1482898349,2023-08-21T13:36:11Z,2023-08-23T19:25:14Z
1468925355,2023-08-09T16:03:42Z,2023-08-11T00:17:47Z
1464013702,2023-08-06T02:51:28Z,2023-08-25T15:51:43Z
1461067209,2023-08-03T09:09:41Z,2023-08-03T09:29:11Z
1460063939,2023-08-02T16:15:15Z,2023-08-04T00:32:57Z
1452210733,2023-07-27T15:26:14Z,2023-12-06T16:10:19Z
1451850842,2023-07-27T11:48:03Z,2024-01-10T17:14:26Z
1445860349,2023-07-24T01:35:36Z,2023-08-29T10:06:11Z
1442179598,2023-07-20T06:03:20Z,
1442033313,2023-07-20T03:01:08Z,2023-09-14T08:24:48Z
1441220334,2023-07-19T15:04:50Z,2023-08-01T10:19:51Z
1441149117,2023-07-19T14:24:50Z,2023-07-19T15:37:29Z
1438799572,2023-07-18T08:31:43Z,
1437354902,2023-07-17T13:37:24Z,2023-07-18T20:56:07Z
1437354338,2023-07-17T13:37:07Z,2023-08-22T06:10:39Z
1437353829,2023-07-17T13:36:53Z,2023-07-18T20:55:32Z
1435834601,2023-07-15T12:28:50Z,2023-07-15T17:58:20Z
1432618082,2023-07-13T08:16:15Z,2023-08-29T15:25:58Z
1424657925,2023-07-07T13:07:38Z,
1420700720,2023-07-05T09:01:33Z,2023-07-06T07:20:04Z
1420489916,2023-07-05T06:33:22Z,2023-09-22T07:25:11Z
1419781586,2023-07-04T14:41:08Z,2023-07-05T13:45:15Z
1418990928,2023-07-04T05:30:28Z,2023-07-05T13:49:09Z
1418520776,2023-07-03T18:32:11Z,2023-08-23T08:17:47Z
1416707958,2023-07-02T12:02:52Z,2023-08-22T11:52:51Z
1414859592,2023-06-30T13:29:42Z,2023-07-04T06:36:08Z
1411653183,2023-06-28T13:23:05Z,2023-07-11T14:40:49Z
1411424121,2023-06-28T10:41:13Z,
1410856534,2023-06-28T01:58:19Z,2023-07-11T14:40:53Z
1410194009,2023-06-27T16:03:16Z,
1408384744,2023-06-26T17:35:51Z,2023-07-11T14:46:26Z
1408204272,2023-06-26T15:31:14Z,
1407600654,2023-06-26T09:57:53Z,2023-06-29T10:03:51Z
1405614455,2023-06-23T20:12:15Z,2023-06-23T21:11:40Z
1405407404,2023-06-23T17:46:05Z,2023-06-24T08:51:09Z
1404826358,2023-06-23T10:11:21Z,2023-06-23T11:04:58Z
1404669252,2023-06-23T08:07:33Z,2023-06-23T08:55:58Z
1404668995,2023-06-23T08:07:19Z,2023-06-23T08:55:45Z
1403926411,2023-06-22T17:43:02Z,2023-06-29T15:32:20Z
1398534333,2023-06-19T16:47:41Z,2023-06-23T09:24:19Z
1397798725,2023-06-19T08:48:58Z,2023-06-19T09:16:35Z
1397798340,2023-06-19T08:48:39Z,2023-06-19T09:16:18Z
1397653271,2023-06-19T07:03:47Z,2023-06-19T21:08:59Z
1397651770,2023-06-19T07:02:55Z,2023-06-19T07:03:40Z
1397229455,2023-06-18T18:06:44Z,2023-12-14T14:41:47Z
1395457722,2023-06-16T10:26:51Z,2023-06-16T10:58:15Z
1395272182,2023-06-16T08:02:04Z,2023-06-16T10:03:49Z
1395219689,2023-06-16T07:24:43Z,2023-06-16T08:53:26Z
1395211575,2023-06-16T07:19:43Z,2023-06-16T07:47:45Z
1395182167,2023-06-16T06:55:24Z,2023-06-19T15:07:19Z
1394607362,2023-06-15T18:48:46Z,2023-06-16T07:01:14Z
1394058615,2023-06-15T12:42:07Z,2023-06-15T13:10:28Z
1394051027,2023-06-15T12:36:47Z,2023-06-15T13:09:52Z
1393951634,2023-06-15T11:30:59Z,2023-06-19T10:39:14Z
1393912652,2023-06-15T11:06:09Z,2023-06-15T12:09:06Z
1393912233,2023-06-15T11:05:51Z,2023-06-15T12:09:16Z
1393179789,2023-06-14T22:42:53Z,2023-06-23T20:53:24Z
1392699007,2023-06-14T15:59:18Z,2023-09-19T05:24:30Z
1392108013,2023-06-14T10:23:20Z,2023-06-14T10:26:36Z
1391303182,2023-06-13T21:07:23Z,2023-06-15T14:51:32Z
1391122319,2023-06-13T18:32:44Z,2023-06-13T19:22:43Z
1389340341,2023-06-12T19:50:35Z,2023-06-13T20:45:34Z
1388454818,2023-06-12T10:59:54Z,2023-06-15T15:29:06Z
1387617454,2023-06-11T17:27:28Z,2023-06-12T09:18:03Z
1387602734,2023-06-11T16:35:42Z,2023-06-12T09:18:11Z
1387599844,2023-06-11T16:27:08Z,2023-06-12T09:18:42Z
1386240171,2023-06-09T13:54:58Z,2023-06-13T18:15:52Z
1384293467,2023-06-08T11:35:20Z,2023-06-15T14:24:56Z
1381553612,2023-06-06T21:28:30Z,2023-06-12T11:55:43Z
1378659695,2023-06-05T09:46:26Z,2023-06-19T15:06:57Z
1378478790,2023-06-05T07:59:36Z,2023-10-16T11:28:48Z
1378474134,2023-06-05T07:57:14Z,2023-06-06T11:10:30Z
1377621172,2023-06-04T08:07:40Z,2023-06-14T05:48:47Z
1375995085,2023-06-02T15:54:35Z,
1375993818,2023-06-02T15:53:44Z,2023-06-04T05:05:07Z
1375992543,2023-06-02T15:52:46Z,2023-06-19T15:06:02Z
1375577975,2023-06-02T11:02:39Z,2023-06-04T05:11:11Z
1375339163,2023-06-02T08:36:00Z,2023-06-16T10:01:43Z
1374683210,2023-06-01T19:51:09Z,2023-06-19T15:04:04Z
1374632246,2023-06-01T19:09:03Z,2023-06-05T08:45:37Z
1374593370,2023-06-01T18:43:15Z,2023-06-05T08:44:47Z
1374387632,2023-06-01T16:08:53Z,2023-06-01T17:00:07Z
1374288716,2023-06-01T15:11:59Z,2023-06-02T11:58:36Z
1374004939,2023-06-01T12:32:41Z,2023-06-04T05:10:58Z
1371620566,2023-05-31T07:33:49Z,2023-06-01T17:05:48Z
1368157891,2023-05-28T20:56:01Z,2023-06-01T15:24:31Z
1365922028,2023-05-26T08:24:25Z,2023-05-31T07:40:49Z
1365868027,2023-05-26T07:41:52Z,2023-05-31T07:40:43Z
1365146320,2023-05-25T18:14:25Z,2023-05-30T22:32:24Z
1364489107,2023-05-25T10:23:53Z,2023-06-01T17:05:07Z
1363963437,2023-05-25T01:21:09Z,
1363744783,2023-05-24T20:31:04Z,2023-09-05T21:09:04Z
1363527070,2023-05-24T17:23:21Z,
1362916827,2023-05-24T11:28:36Z,2023-05-24T15:00:55Z
1362837094,2023-05-24T10:33:55Z,2023-05-24T10:35:17Z
1362675490,2023-05-24T08:56:47Z,2023-05-26T16:19:12Z
1362645530,2023-05-24T08:36:15Z,2023-05-31T07:38:09Z
1362626765,2023-05-24T08:24:08Z,2023-05-24T08:35:26Z
1362593671,2023-05-24T08:01:59Z,2023-05-31T07:38:28Z
1361538507,2023-05-23T14:34:04Z,
1359808163,2023-05-22T19:15:02Z,2023-06-05T08:47:13Z
1357579989,2023-05-19T19:30:10Z,2023-11-29T18:08:19Z
1357410414,2023-05-19T16:49:03Z,2023-05-24T06:28:24Z
1357191234,2023-05-19T13:57:03Z,2023-05-19T15:47:32Z
1357046560,2023-05-19T11:59:03Z,2023-05-19T15:47:04Z
1356882507,2023-05-19T09:40:15Z,2023-05-19T15:46:39Z
1352113248,2023-05-16T09:02:45Z,2023-05-16T09:17:16Z
1352040768,2023-05-16T08:19:06Z,2023-05-17T05:15:45Z
1351831489,2023-05-16T05:28:02Z,2023-05-17T05:19:19Z
1350325720,2023-05-15T08:14:02Z,2023-05-22T19:19:34Z
1347370140,2023-05-11T16:12:45Z,2023-05-11T16:19:54Z
1347368757,2023-05-11T16:11:37Z,2023-05-11T16:11:57Z
1345614046,2023-05-10T15:01:49Z,2023-05-22T19:16:30Z
1343765206,2023-05-09T13:30:45Z,2023-05-09T23:46:02Z
1339794922,2023-05-05T12:11:55Z,2023-05-05T15:21:17Z
1339472948,2023-05-05T07:37:10Z,2023-05-05T08:00:35Z
1339471219,2023-05-05T07:35:26Z,2023-05-05T08:00:41Z
1335461470,2023-05-02T15:49:44Z,2023-05-02T18:37:57Z
1335435835,2023-05-02T15:31:07Z,2023-06-21T13:07:56Z
1335328866,2023-05-02T14:19:00Z,2023-05-05T12:01:38Z
1331444406,2023-04-28T07:37:37Z,2023-05-02T14:19:16Z
1329860136,2023-04-27T07:18:13Z,2023-05-23T08:50:16Z
1324135265,2023-04-22T21:31:41Z,
1316703155,2023-04-17T14:02:07Z,2023-05-16T08:56:44Z
1316648614,2023-04-17T13:36:22Z,2023-06-04T19:03:41Z
1316613995,2023-04-17T13:15:34Z,2023-04-26T13:51:40Z
1315190693,2023-04-15T17:42:39Z,2023-04-16T12:53:36Z
1315176042,2023-04-15T17:01:31Z,2023-04-16T14:27:36Z
