timestamp,project,release_name
1406840914,druid,refs/tags/druid-0.6.136
1406913270,druid,refs/tags/druid-0.6.137
1407357239,druid,refs/tags/druid-0.6.138
1407523246,druid,refs/tags/druid-0.6.139
1384378063,druid,refs/tags/druid-0.6.14
1407536194,druid,refs/tags/druid-0.6.140
1407538429,druid,refs/tags/druid-0.6.141
1407540154,druid,refs/tags/druid-0.6.142
1407638165,druid,refs/tags/druid-0.6.143
1407875090,druid,refs/tags/druid-0.6.144
1408053537,druid,refs/tags/druid-0.6.145
1408650630,druid,refs/tags/druid-0.6.146
1408721331,druid,refs/tags/druid-0.6.147
1409167369,druid,refs/tags/druid-0.6.148
1409334195,druid,refs/tags/druid-0.6.149
1384455272,druid,refs/tags/druid-0.6.15
1409351394,druid,refs/tags/druid-0.6.150
1409865009,druid,refs/tags/druid-0.6.151
1409940434,druid,refs/tags/druid-0.6.152
1410395051,druid,refs/tags/druid-0.6.153
1410906169,druid,refs/tags/druid-0.6.154
1411513959,druid,refs/tags/druid-0.6.155
1411515081,druid,refs/tags/druid-0.6.156
1412717420,druid,refs/tags/druid-0.6.157
1412889888,druid,refs/tags/druid-0.6.158
1413229841,druid,refs/tags/druid-0.6.159
1384463900,druid,refs/tags/druid-0.6.16
1414020327,druid,refs/tags/druid-0.6.160
1416526824,druid,refs/tags/druid-0.6.161
1416527666,druid,refs/tags/druid-0.6.162
1416951325,druid,refs/tags/druid-0.6.163
1417470728,druid,refs/tags/druid-0.6.164
1418254186,druid,refs/tags/druid-0.6.165
1418691937,druid,refs/tags/druid-0.6.166
1419290212,druid,refs/tags/druid-0.6.167
1419352538,druid,refs/tags/druid-0.6.169
1384468282,druid,refs/tags/druid-0.6.17
1421535487,druid,refs/tags/druid-0.6.170
1421800180,druid,refs/tags/druid-0.6.171
1422570637,druid,refs/tags/druid-0.6.172
1425583722,druid,refs/tags/druid-0.6.173
1426634876,druid,refs/tags/druid-0.6.174
1384470489,druid,refs/tags/druid-0.6.18
1384482025,druid,refs/tags/druid-0.6.19
1383872748,druid,refs/tags/druid-0.6.2
1384883984,druid,refs/tags/druid-0.6.20
1384972132,druid,refs/tags/druid-0.6.21
1384973117,druid,refs/tags/druid-0.6.22
1384977611,druid,refs/tags/druid-0.6.23
1385430897,druid,refs/tags/druid-0.6.24
1386022970,druid,refs/tags/druid-0.6.25
1386212245,druid,refs/tags/druid-0.6.26
1386642611,druid,refs/tags/druid-0.6.27
1386642918,druid,refs/tags/druid-0.6.28
1386643523,druid,refs/tags/druid-0.6.29
1383874806,druid,refs/tags/druid-0.6.3
1386648454,druid,refs/tags/druid-0.6.30
1386888777,druid,refs/tags/druid-0.6.31
1386898114,druid,refs/tags/druid-0.6.32
1386903194,druid,refs/tags/druid-0.6.33
1386980418,druid,refs/tags/druid-0.6.34
1386982037,druid,refs/tags/druid-0.6.35
1386982622,druid,refs/tags/druid-0.6.36
1387239461,druid,refs/tags/druid-0.6.37
1387326589,druid,refs/tags/druid-0.6.38
1387331322,druid,refs/tags/druid-0.6.39
1383876216,druid,refs/tags/druid-0.6.4
1387409750,druid,refs/tags/druid-0.6.40
1387411527,druid,refs/tags/druid-0.6.41
1387420702,druid,refs/tags/druid-0.6.42
1387563210,druid,refs/tags/druid-0.6.43
1387566477,druid,refs/tags/druid-0.6.44
1387567531,druid,refs/tags/druid-0.6.45
1387571329,druid,refs/tags/druid-0.6.46
1388721215,druid,refs/tags/druid-0.6.47
1389665064,druid,refs/tags/druid-0.6.48
1389722190,druid,refs/tags/druid-0.6.49
1383877216,druid,refs/tags/druid-0.6.5
1389744523,druid,refs/tags/druid-0.6.50
1389749740,druid,refs/tags/druid-0.6.51
1390002830,druid,refs/tags/druid-0.6.52
1391466524,druid,refs/tags/druid-0.6.52.1
1391642366,druid,refs/tags/druid-0.6.52.2
1392057519,druid,refs/tags/druid-0.6.52.3
1395173994,druid,refs/tags/druid-0.6.52.4
1391214741,druid,refs/tags/druid-0.6.53
1391474097,druid,refs/tags/druid-0.6.54
1391474866,druid,refs/tags/druid-0.6.55
1391556210,druid,refs/tags/druid-0.6.56
1391802994,druid,refs/tags/druid-0.6.57
1391807178,druid,refs/tags/druid-0.6.58
1392264175,druid,refs/tags/druid-0.6.59
1392419366,druid,refs/tags/druid-0.6.60
1392420251,druid,refs/tags/druid-0.6.61
1393265622,druid,refs/tags/druid-0.6.61.1
1393530755,druid,refs/tags/druid-0.6.62
1394139306,druid,refs/tags/druid-0.6.63
1394483194,druid,refs/tags/druid-0.6.64
1394489143,druid,refs/tags/druid-0.6.65
1394819963,druid,refs/tags/druid-0.6.66
1394834810,druid,refs/tags/druid-0.6.68
1394835410,druid,refs/tags/druid-0.6.69
1383895738,druid,refs/tags/druid-0.6.7
1395089826,druid,refs/tags/druid-0.6.70
1395117851,druid,refs/tags/druid-0.6.71
1395155564,druid,refs/tags/druid-0.6.72
1395425254,druid,refs/tags/druid-0.6.73
1395780201,druid,refs/tags/druid-0.6.74
1395968631,druid,refs/tags/druid-0.6.75
1396307245,druid,refs/tags/druid-0.6.76
1396485199,druid,refs/tags/druid-0.6.77
1396498094,druid,refs/tags/druid-0.6.78
1396499585,druid,refs/tags/druid-0.6.79
1383939249,druid,refs/tags/druid-0.6.8
1396502672,druid,refs/tags/druid-0.6.81
1397600822,druid,refs/tags/druid-0.6.81.1
1397689828,druid,refs/tags/druid-0.6.81.2
1396570870,druid,refs/tags/druid-0.6.82
1396899920,druid,refs/tags/druid-0.6.83
