timestamp,project,code|design-debt,requirement-debt,documentation-debt,test-debt
1564511119,flink,0,0,0,0
1564511183,flink,0,0,0,0
1564562357,flink,1,0,0,0
1564562395,flink,-1,0,0,0
1564562637,flink,1,0,0,0
1564562679,flink,-1,0,0,0
1564632369,flink,1,0,0,0
1564632483,flink,1,0,0,0
1564642886,flink,1,0,0,0
1564642893,flink,2,0,0,0
1564643141,flink,1,0,0,0
1564643165,flink,2,0,0,0
1564699536,flink,0,0,0,0
1564699849,flink,0,0,0,0
1564711598,flink,0,0,0,0
1564711799,flink,0,0,0,0
1564740032,flink,1,0,0,0
1564741862,flink,1,0,0,0
1564776001,flink,-5,0,0,0
1565019072,flink,0,0,1,0
1565019525,flink,0,0,1,0
1565155363,flink,1,0,0,0
1565164508,flink,1,0,0,0
1565189385,flink,3,0,0,0
1565192190,flink,5,0,0,0
1565192191,flink,2,0,0,0
1565225923,flink,7,0,0,0
1565269451,flink,2,0,0,0
1565269978,flink,2,0,0,0
1565620842,flink,1,0,0,0
1565729779,flink,1,0,0,0
1565730056,flink,1,0,0,0
1565992126,flink,-1,0,0,0
1566123778,flink,1,0,0,0
1566124123,flink,1,0,0,0
1566232573,flink,1,0,0,0
1566387934,flink,-1,0,0,0
1566388615,flink,-3,0,0,0
1566400096,flink,1,0,0,0
1566573673,flink,0,0,0,0
1566930971,flink,0,0,0,0
1567006806,flink,1,0,0,0
1567161864,flink,-1,0,0,0
1567424413,flink,0,2,0,0
1567424609,flink,0,2,0,0
1567516464,flink,1,0,0,0
1567516880,flink,1,0,0,0
1567517247,flink,1,0,0,0
1567519147,flink,0,0,0,0
1567606017,flink,1,0,0,0
1567716998,flink,2,0,0,0
1567756234,flink,-1,0,0,0
1567770149,flink,-3,0,0,0
1567776472,flink,-1,-1,0,0
1568627840,flink,-1,0,0,0
1568705408,flink,-1,0,0,0
1568799707,flink,1,0,0,0
1568799755,flink,1,0,0,0
1568806771,flink,0,2,0,0
1568809710,flink,1,0,0,0
1569235340,flink,0,0,0,0
