timestamp,project,commits_per_14days
2014-01-09,dubbo,0
2014-01-23,dubbo,0
2014-02-06,dubbo,1
2014-02-20,dubbo,1
2014-03-06,dubbo,6
2014-03-20,dubbo,0
2014-04-03,dubbo,1
2014-04-17,dubbo,0
2014-05-01,dubbo,1
2014-05-15,dubbo,0
2014-05-29,dubbo,0
2014-06-12,dubbo,0
2014-06-26,dubbo,0
2014-07-10,dubbo,0
2014-07-24,dubbo,0
2014-08-07,dubbo,0
2014-08-21,dubbo,0
2014-09-04,dubbo,1
2014-09-18,dubbo,0
2014-10-02,dubbo,0
2014-10-16,dubbo,0
2014-10-30,dubbo,1
2014-11-13,dubbo,0
2014-11-27,dubbo,0
2014-12-11,dubbo,0
2014-12-25,dubbo,0
2015-01-08,dubbo,0
2015-01-22,dubbo,0
2015-02-05,dubbo,3
2015-02-19,dubbo,0
2015-03-05,dubbo,0
2015-03-19,dubbo,5
2015-04-02,dubbo,0
2015-04-16,dubbo,0
2015-04-30,dubbo,0
2015-05-14,dubbo,0
2015-05-28,dubbo,0
2015-06-11,dubbo,0
2015-06-25,dubbo,0
2015-07-09,dubbo,0
2015-07-23,dubbo,0
2015-08-06,dubbo,0
2015-08-20,dubbo,0
2015-09-03,dubbo,0
2015-09-17,dubbo,0
2015-10-01,dubbo,0
2015-10-15,dubbo,0
2015-10-29,dubbo,0
2015-11-12,dubbo,0
2015-11-26,dubbo,0
2015-12-10,dubbo,2
2015-12-24,dubbo,0
2016-01-07,dubbo,0
2016-01-21,dubbo,0
2016-02-04,dubbo,0
2016-02-18,dubbo,0
2016-03-03,dubbo,0
2016-03-17,dubbo,0
2016-03-31,dubbo,1
2016-04-14,dubbo,2
2016-04-28,dubbo,0
2016-05-12,dubbo,0
2016-05-26,dubbo,16
2016-06-09,dubbo,15
2016-06-23,dubbo,0
2016-07-07,dubbo,0
2016-07-21,dubbo,0
2016-08-04,dubbo,0
2016-08-18,dubbo,0
2016-09-01,dubbo,0
2016-09-15,dubbo,0
2016-09-29,dubbo,0
2016-10-13,dubbo,0
2016-10-27,dubbo,0
2016-11-10,dubbo,0
2016-11-24,dubbo,0
2016-12-08,dubbo,1
2016-12-22,dubbo,0
2017-01-05,dubbo,0
2017-01-19,dubbo,0
2017-02-02,dubbo,0
2017-02-16,dubbo,0
2017-03-02,dubbo,2
2017-03-16,dubbo,1
2017-03-30,dubbo,0
2017-04-13,dubbo,2
2017-04-27,dubbo,0
2017-05-11,dubbo,0
2017-05-25,dubbo,0
2017-06-08,dubbo,0
2017-06-22,dubbo,0
2017-07-06,dubbo,0
2017-07-20,dubbo,2
2017-08-03,dubbo,1
2017-08-17,dubbo,12
2017-08-31,dubbo,37
2017-09-14,dubbo,19
2017-09-28,dubbo,19
2017-10-12,dubbo,17
2017-10-26,dubbo,19
2017-11-09,dubbo,4
2017-11-23,dubbo,20
2017-12-07,dubbo,24
2017-12-21,dubbo,45
2018-01-04,dubbo,41
2018-01-18,dubbo,30
2018-02-01,dubbo,18
2018-02-15,dubbo,20
2018-03-01,dubbo,23
2018-03-15,dubbo,5
2018-03-29,dubbo,18
2018-04-12,dubbo,18
2018-04-26,dubbo,30
2018-05-10,dubbo,68
2018-05-24,dubbo,33
2018-06-07,dubbo,30
2018-06-21,dubbo,14
2018-07-05,dubbo,39
2018-07-19,dubbo,35
2018-08-02,dubbo,35
2018-08-16,dubbo,36
2018-08-30,dubbo,66
2018-09-13,dubbo,42
2018-09-27,dubbo,27
2018-10-11,dubbo,52
2018-10-25,dubbo,75
2018-11-08,dubbo,65
2018-11-22,dubbo,58
2018-12-06,dubbo,68
2018-12-20,dubbo,76
2019-01-03,dubbo,86
2019-01-17,dubbo,100
2019-01-31,dubbo,40
2019-02-14,dubbo,47
2019-02-28,dubbo,40
2019-03-14,dubbo,74
2019-03-28,dubbo,23
2019-04-11,dubbo,32
2019-04-25,dubbo,36
2019-05-09,dubbo,55
2019-05-23,dubbo,71
2019-06-06,dubbo,21
2019-06-20,dubbo,51
2019-07-04,dubbo,78
2019-07-18,dubbo,47
2019-08-01,dubbo,66
2019-08-15,dubbo,83
2019-08-29,dubbo,59
2019-09-12,dubbo,43
2019-09-26,dubbo,27
2019-10-10,dubbo,49
2019-10-24,dubbo,31
2019-11-07,dubbo,50
2019-11-21,dubbo,28
2019-12-05,dubbo,65
2019-12-19,dubbo,52
2020-01-02,dubbo,19
2020-01-16,dubbo,18
2020-01-30,dubbo,46
2020-02-13,dubbo,16
2020-02-27,dubbo,44
2020-03-12,dubbo,21
2020-03-26,dubbo,34
2020-04-09,dubbo,6
2020-04-23,dubbo,27
2020-05-07,dubbo,20
2020-05-21,dubbo,14
2020-06-04,dubbo,22
2020-06-18,dubbo,20
2020-07-02,dubbo,27
2020-07-16,dubbo,28
2020-07-30,dubbo,33
2020-08-13,dubbo,13
2020-08-27,dubbo,19
2020-09-10,dubbo,15
2020-09-24,dubbo,9
2020-10-08,dubbo,13
2020-10-22,dubbo,1
2020-11-05,dubbo,34
2020-11-19,dubbo,7
2020-12-03,dubbo,4
2020-12-17,dubbo,4
2020-12-31,dubbo,8
2021-01-14,dubbo,24
2021-01-28,dubbo,32
2021-02-11,dubbo,60
2021-02-25,dubbo,46
2021-03-11,dubbo,72
2021-03-25,dubbo,42
2021-04-08,dubbo,59
2021-04-22,dubbo,38
2021-05-06,dubbo,83
2021-05-20,dubbo,95
2021-06-03,dubbo,87
2021-06-17,dubbo,66
2021-07-01,dubbo,54
2021-07-15,dubbo,37
2021-07-29,dubbo,54
2021-08-12,dubbo,58
2021-08-26,dubbo,66
2021-09-09,dubbo,91
2021-09-23,dubbo,66
2021-10-07,dubbo,56
2021-10-21,dubbo,58
2021-11-04,dubbo,38
2021-11-18,dubbo,35
2021-12-02,dubbo,28
2021-12-16,dubbo,47
2021-12-30,dubbo,15
2022-01-13,dubbo,36
2022-01-27,dubbo,19
2022-02-10,dubbo,14
2022-02-24,dubbo,19
2022-03-10,dubbo,49
2022-03-24,dubbo,28
2022-04-07,dubbo,20
2022-04-21,dubbo,8
2022-05-05,dubbo,25
2022-05-19,dubbo,8
2022-06-02,dubbo,25
2022-06-16,dubbo,27
2022-06-30,dubbo,47
2022-07-14,dubbo,39
2022-07-28,dubbo,29
2022-08-11,dubbo,51
2022-08-25,dubbo,34
2022-09-08,dubbo,39
2022-09-22,dubbo,18
2022-10-06,dubbo,25
2022-10-20,dubbo,39
2022-11-03,dubbo,48
2022-11-17,dubbo,78
2022-12-01,dubbo,39
2022-12-15,dubbo,46
2022-12-29,dubbo,50
2023-01-12,dubbo,91
2023-01-26,dubbo,118
2023-02-09,dubbo,71
