,project,kendal_v,kendal_p,spearman_v,spearman_p,y_column,x_column
23,dubbo,0.29192266926628735,5.154735613958473e-25,0.39137328989738335,5.980053272661389e-26,test-debt,open_prs_exact
24,dubbo,0.21240517761625474,5.993482430629448e-16,0.35217182631567967,5.37530928974322e-21,requirement-debt,open_prs_exact
25,dubbo,-0.027557721490668655,0.3793267989562754,-0.041708959727479324,0.28100569475450277,documentation-debt,open_prs_exact
26,flink,0.8044908579541643,0.0,0.9356749904768115,0.0,code|design-debt,open_prs_exact
27,flink,0.7638243820986466,0.0,0.9137644296800627,0.0,test-debt,open_prs_exact
28,flink,0.8301470548039409,0.0,0.9545631697014404,0.0,requirement-debt,open_prs_exact
29,flink,0.7367630375911061,0.0,0.8981027658799359,0.0,documentation-debt,open_prs_exact
30,hadoop,0.9751100891030925,0.0,0.9982583962104578,0.0,code|design-debt,open_prs_exact
31,hadoop,0.9478184222250572,0.0,0.9929944009905602,0.0,test-debt,open_prs_exact
32,hadoop,0.9454821826656099,0.0,0.9940323222742522,0.0,requirement-debt,open_prs_exact
33,hadoop,0.9035554479066441,0.0,0.9804364909548489,0.0,documentation-debt,open_prs_exact
34,maven,0.8024066029706634,1.596117002211432e-55,0.9430235303040835,5.404404083189701e-87,code|design-debt,open_prs_exact
35,maven,-0.32686099927728923,2.9774789042350627e-08,-0.37270333470471423,2.572287180406612e-07,test-debt,open_prs_exact
36,maven,0.531844678691,4.140975891559412e-24,0.7589036824484698,5.441003909580218e-35,requirement-debt,open_prs_exact
37,maven,0.2001801222128027,0.0009330629136877676,0.2532127336109761,0.0006044657352816506,documentation-debt,open_prs_exact
38,pulsar,0.7410267424697725,6.064500925555557e-155,0.8704599645101159,1.8838704314901386e-179,code|design-debt,open_prs_exact
39,pulsar,0.7406380238488119,1.795623982047884e-148,0.8694682318343789,1.455880790235485e-178,test-debt,open_prs_exact
40,pulsar,0.45073410083851845,3.343515169677446e-57,0.6217455294589108,4.0139847416127434e-63,requirement-debt,open_prs_exact
41,pulsar,0.6714092860010608,3.887062576384557e-105,0.8427311570917866,4.80496591779474e-157,documentation-debt,open_prs_exact
42,druid,-0.24307777214728363,5.207344618036007e-39,-0.4199570774924148,4.4877518996549745e-57,code|design-debt,commits_per_14days
43,druid,-0.30411678122473046,8.360885413371952e-54,-0.4569077119173401,1.6803618030393043e-68,test-debt,commits_per_14days
44,druid,-0.24935216931731843,1.6654139243164304e-39,-0.42235652912597915,8.959524257997827e-58,requirement-debt,commits_per_14days
45,druid,-0.3281299602521169,1.603065882788404e-59,-0.47929338302779484,3.855631704135782e-76,documentation-debt,commits_per_14days
46,dubbo,-0.11689604371384149,7.994920500045968e-06,-0.1708347268417508,8.731457680952604e-06,code|design-debt,commits_per_14days
47,dubbo,-0.06480186028515585,0.02262156605833822,-0.09337404767014859,0.015619027148279657,test-debt,commits_per_14days
48,dubbo,-0.11057312529683995,2.830017143278735e-05,-0.16125158319123806,2.745941323788673e-05,requirement-debt,commits_per_14days
