date,open_issues 
1629985501.0,1243
1629993046.0,1244
1630019791.0,1245
1630024391.0,1246
1630028938.0,1245
1630051116.0,1246
1630055465.0,1247
1630078667.0,1248
1630084809.0,1247
1630105897.0,1248
1630130922.0,1249
1630146405.0,1250
1630231563.0,1251
1630248798.0,1252
1630252121.0,1253
1630258663.0,1254
1630292750.0,1255
1630292821.0,1256
1630294790.0,1255
1630303703.0,1254
1630306198.0,1253
1630337046.0,1252
1630340526.0,1253
1630357480.0,1254
1630357754.0,1255
1630369640.0,1256
1630375848.0,1257
1630379289.0,1258
1630381650.0,1259
1630390662.0,1258
1630403013.0,1259
1630403185.0,1260
1630413706.0,1259
1630428506.0,1258
1630438418.0,1259
1630458612.0,1258
1630464720.0,1259
1630465925.0,1260
1630475019.0,1259
1630475253.0,1258
1630485337.0,1259
1630485747.0,1260
1630489547.0,1261
1630490111.0,1262
1630493255.0,1261
1630514520.0,1262
1630532743.0,1261
1630547347.0,1260
1630549878.0,1259
1630557634.0,1258
1630557771.0,1257
1630558083.0,1256
1630558177.0,1255
1630558296.0,1254
1630564586.0,1255
1630564589.0,1256
1630564979.0,1257
1630568534.0,1258
1630568796.0,1257
1630587211.0,1258
1630591632.0,1257
1630600522.0,1258
1630601593.0,1257
1630603940.0,1258
1630640337.0,1259
1630645096.0,1260
1630650708.0,1259
1630658964.0,1260
1630671134.0,1259
1630676023.0,1260
1630699440.0,1261
1630725875.0,1262
1630826353.0,1263
1630911099.0,1264
1630921165.0,1265
1630938441.0,1264
1630939621.0,1263
1630947314.0,1262
1630977499.0,1263
1631001317.0,1262
1631008651.0,1263
1631025925.0,1264
1631029267.0,1263
1631036778.0,1264
1631062022.0,1263
1631065057.0,1262
1631078490.0,1263
1631089017.0,1264
1631097522.0,1265
1631104342.0,1266
1631115244.0,1267
1631156161.0,1268
1631162048.0,1269
1631176289.0,1268
1631191650.0,1269
1631200661.0,1270
1631246410.0,1271
1631255224.0,1270
1631260679.0,1271
1631265286.0,1272
1631286032.0,1273
1631288435.0,1274
1631290357.0,1275
1631305591.0,1276
1631507349.0,1277
1631512060.0,1276
1631514529.0,1277
1631515255.0,1278
1631527037.0,1279
1631530349.0,1280
1631556815.0,1281
1631594414.0,1280
1631599364.0,1281
1631611694.0,1282
1631611706.0,1281
1631630408.0,1280
1631634777.0,1279
1631638853.0,1280
1631639977.0,1281
1631669133.0,1280
1631672276.0,1281
1631683471.0,1280
1631683512.0,1279
1631688554.0,1278
1631695691.0,1279
1631697006.0,1280
1631707852.0,1281
1631713122.0,1282
1631720039.0,1283
1631720066.0,1284
1631728895.0,1285
1631752331.0,1286
1631752605.0,1287
1631752638.0,1286
1631766058.0,1285
1631773085.0,1284
1631779395.0,1285
1631801503.0,1286
1631830294.0,1287
1631831099.0,1288
1631849244.0,1289
1631849427.0,1290
1631899672.0,1289
1631918021.0,1288
1631947626.0,1289
1631950045.0,1290
1631968343.0,1291
1632102784.0,1292
1632103058.0,1291
1632171696.0,1292
1632217145.0,1291
1632225393.0,1292
1632238421.0,1291
1632285276.0,1292
1632295119.0,1291
1632296024.0,1292
1632297548.0,1291
1632301013.0,1292
1632328704.0,1293
1632330377.0,1294
1632331223.0,1295
1632363252.0,1294
1632376604.0,1295
1632385488.0,1296
1632388791.0,1297
1632393010.0,1298
1632396171.0,1297
1632398964.0,1298
1632399663.0,1297
1632399883.0,1296
1632403044.0,1297
1632445004.0,1296
1632454344.0,1297
1632455946.0,1298
1632466924.0,1299
1632489223.0,1298
1632491670.0,1299
1632496767.0,1298
1632506588.0,1299
1632524896.0,1300
1632532440.0,1301
1632580495.0,1302
1632631849.0,1303
1632642531.0,1302
1632649873.0,1303
1632658036.0,1304
1632723790.0,1305
1632729392.0,1306
1632733385.0,1305
1632735649.0,1306
1632742321.0,1307
1632758852.0,1306
1632796042.0,1307
1632815074.0,1308
1632823945.0,1309
1632829422.0,1308
1632834910.0,1309
1632879820.0,1310
1632879939.0,1311
1632888029.0,1312
1632903166.0,1313
1632926230.0,1314
1632974169.0,1313
1632984186.0,1312
1632984468.0,1311
1632993290.0,1310
1632994853.0,1311
1633013121.0,1312
1633015981.0,1313
1633017302.0,1312
1633018084.0,1313
1633049204.0,1314
1633081399.0,1313
1633115012.0,1314
1633127616.0,1315
1633143709.0,1316
1633176909.0,1317
1633206636.0,1318
1633259662.0,1319
1633272154.0,1320
1633337644.0,1321
1633354591.0,1322
1633374294.0,1323
1633375187.0,1322
1633441569.0,1323
1633466449.0,1324
1633479493.0,1323
1633480149.0,1322
1633514886.0,1323
1633516316.0,1322
1633531855.0,1323
1633579495.0,1324
1633581610.0,1325
1633621194.0,1326
1633685373.0,1327
1633687049.0,1328
1633742053.0,1327
1633778259.0,1326
1633789096.0,1325
1633793728.0,1326
1633827522.0,1327
1633924219.0,1328
1633933946.0,1327
1633934300.0,1326
1633934375.0,1325
1633946796.0,1326
1633947637.0,1327
1633961307.0,1328
1633961427.0,1329
1633972476.0,1328
1634006996.0,1329
1634010244.0,1328
1634023535.0,1329
1634029117.0,1330
1634094326.0,1329
1634106445.0,1330
1634115917.0,1329
1634168214.0,1330
1634203129.0,1331
1634205373.0,1330
1634206033.0,1331
1634220350.0,1332
1634264564.0,1333
1634284413.0,1334
1634286859.0,1335
1634287624.0,1336
1634312679.0,1335
1634458186.0,1336
1634537679.0,1337
1634559796.0,1338
1634561650.0,1339
1634563093.0,1340
1634566239.0,1341
1634566269.0,1342
1634586481.0,1341
1634611678.0,1340
